"abbr";"layer";"taxon";186;191;487;975;968;970;976;488;12;845;79;14;183;85;90;489;89;974;507;583;54;756;548;28;684;484;748;597;612;82;47;759;60;57;53;37;36;55;48;95;783;735;731;732;734;105;"AN";108;"AP";111;112;106;109;838;667;490;614;659;660;722;695;828;611;683;654;670;630;492;898;"C15";"C14";"C19";994;482;483;900;104;625;626;717;579;594;448;899;568;569;570;866;592;601;578;534;565;577;533;978;125;903;702;449;656;114;602;644;527;651;526;122;703;1029;"C21";"C18";"C24";"C13";"C20";652;653;101;127;97;478;926;1031;121;120
"phal arun";"hl";"Phalaris arundinacea";;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"pheg conn";"hl";"Phegopteris connectilis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"phyt spic spic";"hl";"Phyteuma spicatum";;"+";;;;;;"+";"+";"+";"r";;"r";;1;;"r";;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";"+";;;;;;;;;;;;;;;"+";"r";;;"+";;;;;;;;;"+";"+";"+";;;;"+";;;;;"+";"+";"+";"+";"+";;;;"+";;;;;;;;"+";"+";;;;;;"r";;;;;;"r";"+";"+";"+";;"+"
"pice abie";"tl";"Picea abies B ";;1;"r";;1;1;;"r";;;;;;;;;"+";;;;;;;1;;;;;;"r";;1;;;;;;;;;;;2;2;1;;2;;;3;2;1;3;;;;;;"+";;;;;;2;3;;;;;;;;;;;;;;;;;;;;;;;;"+";;2;;;1;1;;;;;;;;"+";;;;;1;;;;1;;;;"+";;;;1;2;;1;
"pice abie";"hl";"Picea abies K";;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"r";;;;;;;;;;;;"+";;;;;;"r";"+";;;"r";"r";"+";"+";;;;"+";;;;;;;"+";;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;"r";;;;;
"pice abie";"sl";"Picea abies S";;;;;;;;;;;;;"r";"r";;;;;"+";;;;;;"r";;;;;;;;;;;;;;;;;"+";;;;;;"+";;"+";;"+";"+";;;;;"+";"r";;;;"+";1;1;;;"+";;"r";"r";;;;;;;;;;;;;;;;;;;;;;;"+";"r";;;;1;;;;;;;;;;;"+";;;"+";;;;;;;;"+";;"+";;
"pimp majo majo";"hl";"Pimpinella major";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;"+";"+";"+";"+";;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"pinu sylv";"tl";"Pinus sylvestris B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;"+";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;
"pleu aust";"hl";"Pleurospermum austriacum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;
"poa nemo";"hl";"Poa nemoralis";"r";;;"+";;;"+";"+";;;;"+";;;;"r";;;;;;;;;;;;;;;;;;"+";1;"r";;;"+";;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";"+";;"r";;;"+";;;"+";;;;;;;"+";;"+";"+";;;;;;;;;;"+";"+";;;;;;;;;;;1;1;1;;"+";;"+";;;
"poa palu";"hl";"Poa palustris";;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"poa triv";"hl";"Poa trivialis";;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"poly cham";"hl";"Polygala chamaebuxus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"poly mult";"hl";"Polygonatum multiflorum";"+";"+";"+";;;;"r";"r";;"+";1;;;"r";"+";"+";"+";"r";"+";"+";"r";;;"+";;;"+";"+";;"+";"+";;"+";"+";"+";"+";"+";"r";1;"+";;;;;;;;;;;"r";;;"+";;;;;;;;;"+";"+";;;;;"+";"+";"+";"r";;"+";"+";"+";"+";"+";;"+";"+";;1;"+";"+";1;"+";"+";1;"+";"+";"+";"+";"+";1;"+";;"+";"+";"+";;"+";"+";;;"+";"+";"+";"+";"+";"r";1;"r";1;;;;;;;"r";;;"+";
"poly odor";"hl";"Polygonatum odoratum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"poly vert";"hl";"Polygonatum verticillatum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;"+";;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"poly vulg";"hl";"Polypodium vulgare";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"r";"+";"+";;;;;;
"poly acul";"hl";"Polystichum aculeatum";;;;;;;;;;;;;;;;;;;;"+";;;;;"r";;"+";;"r";;;;;;;;;;;;;;;;;;"+";;"r";;;;;;"r";;;;;;;;;"+";"+";"+";;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;"+";"+";"+";;"+";;;;;"r";;;;;;;;;;
"poly lonc";"hl";"Polystichum lonchitis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"popu cana";"hl";"Populus canadensis B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"popu trem";"hl";"Populus tremula B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"pote erec";"hl";"Potentilla erecta";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"pote ster";"hl";"Potentilla sterilis";;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"pren purp";"hl";"Prenanthes purpurea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";"+";"+";;"+";;;;;"r";;"r";;"r";"+";;;;"r";;"+";"+";;"r";"r";;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;"+";;
"prim elat";"hl";"Primula elatior";1;"+";;;;;;"+";"+";;;"+";1;1;;;"+";1;"+";"+";;;"+";1;;;;"+";;"r";"+";"r";;1;1;1;"+";"+";"+";"+";;;;;;;;"r";;"+";1;;"+";"+";;"+";;;;;;;;;;;"+";"+";;;;;;;;;1;;;"+";"+";"r";;;;"+";"+";;;"r";;;;;"r";"+";;;"+";;"r";"+";;;;;;;;"+";;;;;;;;;;"+";"r";;;;
"prun vulg";"hl";"Prunella vulgaris";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;
"prun aviu slat";"tl";"Prunus avium B";"r";;1;;;;;;;;;;;;;;"+";;;;;;;;;;;"+";;;;;;;"r";;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;"r";;1;;;;;;;;;;"+";;;2;;"r";;"r";;;;;;;1;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;
"prun aviu slat";"hl";"Prunus avium K";;;"r";;;;;;;;;;;;;"r";;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;"+";;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"prun aviu slat";"sl";"Prunus avium S";;;;;;;;;;;;"r";;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"prun padu padu";"tl";"Prunus padus B";;;1;;"+";;;;;"+";;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"prun padu padu";"hl";"Prunus padus K";;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;
"prun padu padu";"sl";"Prunus padus S ";;;"r";;;;;;;;1;;;;"+";;1;;1;"+";2;;2;2;;;;;;"r";;;2;"r";"+";"+";"+";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;"r";2;;;;;;;;;;;"+";;;;;;"r";;;;;;;;;;"+";;
"pulm kern";"hl";"Pulmonaria kerneri";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"pulm offi";"hl";"Pulmonaria officinalis";"+";"+";;"+";;"+";"+";"+";;"+";1;"+";"+";"+";;"+";"+";;;"+";;;;1;;;"+";;;"+";1;;;"+";"+";"+";"+";"+";"+";"+";;;;;;;;;;;;;;;"+";;;;;;;;"+";"+";"r";"r";"+";;;"+";"+";;;"+";"+";"+";"+";"+";"+";;"+";"r";"+";;"+";"+";"+";"+";;"+";;"+";"+";;"+";;"+";"+";;;"r";"+";;"+";;;;"+";;"+";;"r";;"r";;"+";"+";;;"+";"+";"+";"+";"+";"+"
"quer robu";"tl";"Quercus robur B";;;"r";1;;;2;1;;1;;;;;"+";;;;"r";;"r";;;;;;;;;2;;;;"+";"+";"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;1;3;2;;;1;;;;;;;;;;3;;;"+";;1;;1;"r";;2;2;;;;;;;;;;;;;;;;4;;;;"+";;;;;;;;;;
"quer robu";"hl";"Quercus robur K";;;;;;;;"+";;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;"r";"+";;;;"r";;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;
"quer robu";"sl";"Quercus robur S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ranu acon";"hl";"Ranunculus aconitifolius";;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;"+";;;;1;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"fica vern vern";"hl";"Ranunculus ficaria";2;1;;1;;;"+";;;;;;;"+";;;;;1;"+";;;2;;;;;;;1;1;;"+";1;2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;1;;;;"+";"+";"r";;;;"+";;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ranu lanu";"hl";"Ranunculus lanuginosus";"+";;;;;;;"+";"+";;;"+";"+";;;;;"+";;;;;;;;;;"+";;"+";"r";"+";"+";"+";"+";;"r";"+";"+";;;;;;;"+";;"+";;;;"r";;;;"r";;;"+";;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;"+";;;;;;;;;;"+";;;;;;;;;;;;;;;;;;"+";"+";;;
"ranu nemo";"hl";"Ranunculus nemorosus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ranu repe";"hl";"Ranunculus repens";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";1;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"rham cath";"hl";"Rhamnus cathartica";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"rhod ferr";"hl";"Rhododendron ferrugineum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"rhod hirs";"hl";"Rhododendron hirsutum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ribe rubr";"hl";"Ribes rubrum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;
"robi pseu";"tl";"Robinia pseudoacacia B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;
"robi pseu";"hl";"Robinia pseudoacacia K";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"robi pseu";"sl";"Robinia pseudoacacia S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"rosa arve";"hl";"Rosa arvensis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;"+";1;;"+";;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"rosa pend";"hl";"Rosa pendulina";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;"r";;;;"+";;;;;;;;1;"+";;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;"r";;
"rosa spec ies";"hl";"Rosa sp.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"rubu caes";"hl";"Rubus caesius";;;;;;;;;;;"+";"+";;;;;;;;;"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;"+";;;;;;;;;;"+";;;"+";"+";;;;;;;;;;;;;;;;;;;;;;;;1;"+";;;;;;;"+";;;;;;"r";;;;;"+";;;;;;;;;;;
"rubu sect rubu";"hl";"Rubus fruticosus agg.";"+";;;;;;;"+";;;"+";"+";;;;;;;;;;;;;;;"+";;;"r";"r";"+";;1;"+";"+";"+";;;;"+";;;;"+";;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;"+";;;;;;;"+";;;;;;;;;1;;;;;;;;;2;;;;;;"r";;;;;;;;;;;;;;"+";1;;
"rubu idae";"hl";"Rubus idaeus";;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;"+";"+";;"+";;;"+";;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;"+";;;;;;;
"rubu saxa";"hl";"Rubus saxatilis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;"+";;"+";"+";"+";"+";"+";;;;;"+";;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"rume sang";"hl";"Rumex sanguineus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;"r";"r";"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sali appe";"hl";"Salix appendiculata";;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;"+";;;"+";;2;"+";"+";"+";"r";;;"+";;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sali capr";"hl";"Salix caprea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sali cine";"hl";"Salix cinerea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sali elea elea";"sl";"Salix eleagnos S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;"r";;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"salv glut";"hl";"Salvia glutinosa";1;"+";"r";"+";;"+";"+";"+";;;"+";;"+";;;"+";;;;;;;;;;;;;;"r";;;;;;;;;"+";;;;;;;1;;"+";"r";"r";1;"+";"+";;"+";;;;"+";"+";"+";;;"r";"+";;;;"+";"+";"+";;;;"+";;;"+";"+";;;;"+";;;"+";"+";"+";"+";;;"+";;;"+";;;"+";;"+";"+";;;"+";;"r";;;;;;"+";"+";;;;;;;"r";;"+";;;
"samb nigr";"hl";"Sambucus nigra";"+";1;"r";"+";1;;1;;;;1;;;"+";;1;"+";;"+";"+";"+";;1;1;"+";;"r";1;;1;2;;1;"+";"+";"+";1;"+";2;"+";;;;;;"+";;;"r";;;;;;;;;;;;;;"+";"+";"+";"+";;;;"r";"+";;;"+";1;;;"+";"+";;"+";;"+";;"+";"+";;;"+";"+";"r";"+";"r";;"+";"+";"+";"r";"+";"+";;"+";;"r";"+";"+";1;;;"+";;"r";;2;;"+";;"+";;;;"+";;;
"sani euro";"hl";"Sanicula europaea";;"+";;;;;;"r";;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;"+";;;;;;;;;;;;;"+";;;;;;;;;;;;;;"+";;;;;;"+";;;;;;"+";;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"saxi rotu";"hl";"Saxifraga rotundifolia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"scab luci luci";"hl";"Scabiosa lucida";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;"+";;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"scro nodo";"hl";"Scrophularia nodosa";;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";"r";;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sedu albu";"hl";"Sedum album";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"hylo maxi";"hl";"Sedum maximum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sene nemo slat";"hl";"Senecio nemorensis agg.";;;;;;;;;"+";;;1;;;;;;;;;;;;;;;;;;"r";;"+";;;;;;;;1;"+";"+";"+";"+";"+";"+";"+";1;;"+";"+";1;"+";;;"+";;;;"+";;;;;;"r";;"+";;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";"r";;;"r";;;;;;;;;"r";"+";"+";;;;
"sesl caer";"hl";"Sesleria caerulea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";1;;;"+";;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sile dioi";"hl";"Silene dioica";;;;"+";;;;;"+";;;"r";;;;;;;;"+";;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;"+";"r";"+";;;
"sile vulg vulg";"hl";"Silene vulgaris";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;"r";;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sola dulc";"hl";"Solanum dulcamara";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"soli virg virg";"hl";"Solidago virgaurea";;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;"r";"r";;"+";;"r";;"+";;;;"+";;;;;"r";;"r";"r";;"+";;"+";;;;;;;;;"r";;;;;;;;;;;;"+";;;;;;;;;"+";"r";;;;;;"+";;;;;"+";;;;;;;;;;;;
"sorb aria";"tl";"Sorbus aria B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1;;;;;;;"+";2;"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sorb aria";"hl";"Sorbus aria K";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;"+";;;;;;;;;;"r";;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sorb aria";"sl";"Sorbus aria S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";2;1;"+";;2;;;;;"r";;;"r";"+";;;"r";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sorb aucu aucu";"tl";"Sorbus aucuparia BS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;"+";1;"r";"r";;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;
"sorb aucu aucu";"hl";"Sorbus aucuparia K";;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";;;;;;;;;"r";;"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sorb torm";"tl";"Sorbus torminalis B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sorb torm";"hl";"Sorbus torminalis K";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
