BEGIN HEADER

RELEVE NO.          | 5 . 5 5 5 2 5 . 5 5 . 5 5 2 . 9 | 5 5 5 5 5 5 5 5 5 5 5 5 | . . . | 5 . 5 . | . . | 5 5 5 8 8 5 . 8 7 | 7 5 7 5 9 . . | 9 9 4 7 9 9 9 | 7 7 7 9 9 | . 8 7 7 7 8 7 9 9 | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | 7 7 7 8 . 7 . . | . 7 9 7 7 9 4
CALA VARI       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | + . + | . . . . | + . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . 3 . . . . . + . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | 2 . . . . . + . . . | + 1 1 . . . . . | + . . . . . .
CTEN MOLL       @ml | . . . . . + 1 . 1 . . . . . . . | . . . . . . . . . . . . | . . . | . . 1 . | . . | 2 . 2 . . . . . . | . . . . 2 . . | . . . . . . . | . . . . . | . . + . . . 1 . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . 1 . . . . . . | . . . . . . .
GALE TETR       @hl | R . . . . . . . R R R . . . . . | . . . . . . . . . . . . | . + . | . + . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . R . . . . . + | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . + .
LYSI NEMO       @hl | . + . + . . . . . . + 1 . . . . | . . + + . . . . 2 . . . | . . . | + . 1 . | + . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
POLY VULG       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . + . + . . | . . . . + . + | . . . . . . . | . . . . . | . . . . . . . . . | . + . . . . . . . . . + . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . R . + + . .
SATU CALA       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . R . . | . + | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | + . . . . . . . + . . . . . . . . | + . . . + . . . . . + . . . . . . . + | . . . . . . . . . . | . . . . . + . . | . . . . . . .
VERO CHAM       @hl | . . R . . . . . . . . R . . . . | . . . . . . . . . . . . | . . . | R . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . + . | . . . . . | . . + + . . . . . | . . . . . . . . + . . . . . . . . | . . . . . . . + + . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
ANGE SILV       @hl | . . . . . . . . + . . . . . . . | . . . . . . . . . . . . | . . + | . . + . | + + | . . . . . . . + . | . . . . . + . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . + . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
CARE ALBA       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . + | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . 1 2 . . | . . . + . . . . . . . . . . + . . | . . . . . . . . . . . 2 . . . . . . . | . . . . . 1 . 3 . . | . . . . . . . . | . . . . . . .
CENT MONT       @hl | . . R . . . . . . . + + . . . . | . . . R . . . . + . . . | . . . | + . + . | R . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
COLC AUTU       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | + . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . 1 . . . . 2 . | . . + . . . . . . + . . . . . . . | . + . . . . . . . . . . . + . + . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
HYPN CUPR       @ml | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . 1 + . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | + 1 + . . . . . | R + 2 . . . .
LIST OVAT       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . R . . . | . . . . . . . | . . . . . | . . . . . . . 1 . | . . . . . + . . . + . . . + . . . | . + . . . . . + . . . . . . . . . . + | . . . . . . . . . . | . . . . . . . . | . . . . . . .
VALE OFFI       @hl | . . . . . . . . . . + . . . . . | . . + . . . . . R . . . | . . . | R R + . | . . | + . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . + | . . . . . . .
VICI SEPI       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | + . + . + . . + + . . . . . . + + . . | . . . . . . . . . . | . . . . . . . . | . . . . . . +
AJUG REPT       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . + . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . + . . . . . . | . . . . + . . . . + . . . . . . . | + . . . . . . . + . . . . . . . . . + | . . . . . . . . . . | . . . . . . . . | . . . . . . .
CAMP RAPU       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . + . . . . . . . . . . . . . | + + . . . . . . . . + . . . . . . + . | . . . . . . . . . . | . . . . . . + . | + . . . . . .
DACT GLOM       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . R + | . . . . | R . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . + . . . . + . . . | + . . . . . . . | 2 . . . . . .
GEUM RIVA       @hl | . . . . . . + . . . . + . . . . | . . R . + . . . R + R . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
MAJA BIFO       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . + | . . . . | . . | . . . . . . . . . | . . . . . . . | . + . . . . . | . . . . . | . . . . . . . . . | . + . + . . . . + . . + . . + . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
MOEH MUSC       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . + . | . . . . . + . | . . . . . | . . . + . . . . . | . . . . . . . . + . . + . . + . . | . . . . . . . . 1 . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
STAP PINN       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | + . . . . . . . . | . . . . . + . . . + . . . . . . . | . . . + . . . . . . . . . . 1 . . . 1 | . . . 1 . . . . . . | . . . . . . . . | . . . . . . .
ANTH ODOR       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . + . . . . . . . . . . . + . . | . . . . . + . . . . . + . . . . . . . | . + . . . . . . . . | . . . . . . . . | + . . . . . .
CAMP ROTU       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . 1 . . . . . . . + | . 1 + . . . + . | + . . . . . .
CARD PERS       @hl | . . + . . . . . . . + . + . . . | . + . . . . . . . . . . | . + . | + . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
LASE LATI       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . + . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . + . . . + | . . 1 . . 1 . . | + . . . . . .
LONI NIGR       @hl | . . . . . . . . . . . . . . . + | . . . . . . . . . . . . | R . . | R . . . | . . | . . . 1 . . . . . | . . . . . . . | . . . . . + . | . . . . . | . . . . . . . . . | . . . . . . . . . . . + . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
MYOS SILV       @hl | . . . . . . + . . + R + . . . . | . . . . + . . . . . . . | . R . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
PLAG ASPL       @ml | . . . . . 1 . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . 2 . . . | . . . . . . . | . . . . . . . | + . + + . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . + . . . . . . | . . . . . . .
PLAT BIFO       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . + . . + . . . . . . . . . . | . . . . . + . . . . . . . . . . . . . | . . . . . . . . . . | . . + + . . . . | R . . . . . .
VALE TRIP       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . + . . . . . . . . + . . + . . | . . . . . + . . . . . + . . . . . . . | . . . . . . . . . . | . + . . . . . . | . . . . . . .
VISC ALBU       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . + . . . . . | + . + . . . . . + . . . . . . . . | . . . . . + . . . . . . . . . . + . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
CIRC ALPI       @hl | . . . 2 . + . . . . . . . . R + | + . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
DESC CESP       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . R . . | . + . | . . + . | + . | . . . . . . . . . | . . . . . . . | . . . . . . . | . + . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
FEST GIGA       @hl | . . . R . . . . . . . 1 . . . . | . . . . . . . . . + . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . + . . . . . + . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
GEUM URBA       @hl | . . . . . . . . . . . 1 . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . + . . . | . . . . . . . . . | . . . . . . . . + . . + . . . . . | . . . . . . . + . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
HIER UMBE       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . + . . + . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | + + . 1 . . .
POTE STER       @hl | . . . . . . . . . . . + . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . R . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . + . . . . . . . + . . . | . . . . . . . . . . | . . . + . . . . | . . . . . . .
PRIM VULG       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . + . . . . | . . . . . | . . . . + . . . + | . . . . . . . . . . . . . . . . . | + . . . . . + . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
TARA OFFI       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . + + . . . . . + . | . . . R . + . . | . . . . . . .
LAMI MACU       @hl | . . + . . . . . 1 . . . 1 . . . | . . + . . + . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
CARD BULB       @hl | . . . . . . . . . . . . . . . + | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | 1 . 2 . . . . | 1 . . . . . . | . . . . . | . . . . . . + . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
ASPL RUTA       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . + . . | . . . . + + . . . . . . . + . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
DICR HETE       @ml | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . R . . . . . | . 1 . + 1 . .
ELYM EURO       @hl | . . . . R . . . . . + + . . . . | . . . . . . . . . . . . | . . . | + . . . | . . | . . . . . . . . . | . . . . . 2 . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
ERIC CARN       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . + . . . . . . . | . . . . . . 1 . . . | . . R . . . . . | . 1 . . . . .
FEST HETE       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . + . . . . . . . + . . . | . . . . . . . . . . | . . + . . . 1 . | . 2 . . . . .
ISOT MYUR       @ml | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . 1 . | . . + . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . + R . .
LEUC GLAU       @ml | . . . . . . . . 2 . . . . . . . | . . . . . 2 . . . 1 2 . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
RUME ARIF       @hl | . . . . . R + . . . + . . . . . | . R . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
SEDU MAXI       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | + . . . . . + . | . . 1 2 . . .
ALLI OLER       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . + . . . . + . + . . + | . . . . . . . . . . | . . . . . . . . | . . . . . . .
VIOL SCOT       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . + . . . . . . 1 . . | . . . . . . . . . . | . . . . . . + + | . . . . . . .
EURH SWAR       @ml | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . 1 . . . . | . . . . . . . | . . . . + . . | . . + . . | . . . . + . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
ACON COMP       @hl | . . . . . . . . . . . . . . . . | + + . . + . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
ASPL ADIA       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . + . . . . . . . . | . . . . . . . . . . | + . . . . . . . | + . . . . . .
ASPL VIRI       @hl | R . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . + . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . + . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
BELL MICH       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . + | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . 1 + . . . . . | . . . . . . .
CARD FLEX       @hl | . . . . . . . . . . R . . . . . | . . R . . . . . . . . . | . . . | 1 . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
CHRY LEUC       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | R . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . + . . . . . . . . | . . . . . . . . | 1 . . . . . .
CONV MAJA       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . + . . . . . . . . | . . . . . + . . . . . . . . . . . . . | . . . . . . . . . . | . + . . . . . . | . . . . . . .
DRYO SPIN       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . 1 . . . 1 . | . . . . . . . | . . . . . . . | . + . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
HYPE HIRS       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | + . . . + . + . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
NEOT NIDU       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . + + . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . + . . . . . | . . . . . . . . | . . . . . . .
ORCH MACU       @hl | . . R . . . . . . . . . . . . . | . . . . . . . . . . . . | R . . | . . + . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
SCAB COLO       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . + . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . + | + . . . . . .
TEUC SCOR       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | + . . . . . + . | . . . . 1 . .
VICI CRAC       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | R . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | + . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . + . | . . . . . . .
FILI ULMA       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . R R . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . + . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
ASTO MAJO       @hl | . . . . . . . . . . . . . . . . | . . + . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . + + . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
BROM EREC       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . + . . . . . . . . | . 2 + . . . . . | . . . . . . .
ALCH VULG       @hl | . . R . . . . . . . . R . . . . | . . . . . . . . . . . . | R + . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
AQUI ATRA       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . + . . . . . . . . . . . . . . | . + . . . . . . . . | . . . . . . . . | . . . . . . .
CARD PENT       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | 1 . . . . 1 . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
CARE PILU       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . + 1
CEPH RUBR       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . + . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . + | . . . . . . .
CHAE VILL       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | + . | . . . . . . . . . | . . . . . . . | . . . 1 . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
DIGI LUTE       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . + . . . . . . | + . . . . . . . | . . . . . . .
EPIL ALPE       @hl | . . . . . . . . . . . R . . . . | . . . . R . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
GALI MOLL       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | + . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . + . . . . . . | . . . . . . .
GALI ROTU       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | R . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . + . .
HIER LACH       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | R . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . 1 . . . . . | . . . + . . .
HIER PREN       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . + . | + . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
